loc_x,loc_y,shot_distance,shot_made,shot_type,shot_zone,shot_zone_area
62.0,80.0,10.0,False,2PT,In The Paint (Non-RA),Right Side(R)
105.0,159.0,19.0,True,2PT,Mid-Range,Right Side Center(RC)
-160.0,86.0,18.0,False,2PT,Mid-Range,Left Side(L)
242.0,-10.0,24.0,True,3PT,Right Corner 3,Right Side(R)
59.0,31.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
89.0,154.0,17.0,False,2PT,Mid-Range,Right Side Center(RC)
-101.0,20.0,10.0,False,2PT,Mid-Range,Left Side(L)
28.0,17.0,3.0,False,2PT,Restricted Area,Center(C)
89.0,178.0,19.0,False,2PT,Mid-Range,Right Side Center(RC)
-79.0,4.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
206.0,164.0,26.0,True,3PT,Above the Break 3,Right Side Center(RC)
-4.0,96.0,9.0,True,2PT,In The Paint (Non-RA),Center(C)
-52.0,257.0,26.0,False,3PT,Above the Break 3,Center(C)
-2.0,30.0,3.0,True,2PT,Restricted Area,Center(C)
1.0,3.0,0.0,True,2PT,Restricted Area,Center(C)
7.0,3.0,0.0,False,2PT,Restricted Area,Center(C)
0.0,7.0,0.0,True,2PT,Restricted Area,Center(C)
28.0,4.0,2.0,True,2PT,Restricted Area,Center(C)
155.0,23.0,15.0,False,2PT,Mid-Range,Right Side(R)
-92.0,20.0,9.0,False,2PT,Mid-Range,Left Side(L)
92.0,17.0,9.0,False,2PT,Mid-Range,Right Side(R)
-168.0,-2.0,16.0,False,2PT,Mid-Range,Left Side(L)
-71.0,172.0,18.0,False,2PT,Mid-Range,Left Side Center(LC)
-90.0,66.0,11.0,False,2PT,Mid-Range,Left Side(L)
34.0,55.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
-16.0,257.0,25.0,False,3PT,Above the Break 3,Center(C)
-57.0,0.0,5.0,True,2PT,In The Paint (Non-RA),Center(C)
-10.0,4.0,1.0,True,2PT,Restricted Area,Center(C)
-231.0,-5.0,23.0,True,3PT,Left Corner 3,Left Side(L)
-15.0,9.0,1.0,False,2PT,Restricted Area,Center(C)
-175.0,74.0,19.0,True,2PT,Mid-Range,Left Side(L)
201.0,151.0,25.0,True,3PT,Above the Break 3,Right Side Center(RC)
13.0,6.0,1.0,False,2PT,Restricted Area,Center(C)
7.0,4.0,0.0,False,2PT,Restricted Area,Center(C)
1.0,0.0,0.0,True,2PT,Restricted Area,Center(C)
-228.0,-5.0,22.0,True,3PT,Left Corner 3,Left Side(L)
-13.0,0.0,1.0,True,2PT,Restricted Area,Center(C)
-183.0,99.0,20.0,False,2PT,Mid-Range,Left Side(L)
-5.0,205.0,20.0,True,2PT,Mid-Range,Center(C)
0.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
80.0,252.0,26.0,False,3PT,Above the Break 3,Center(C)
1.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
242.0,7.0,24.0,False,3PT,Right Corner 3,Right Side(R)
179.0,-6.0,17.0,False,2PT,Mid-Range,Right Side(R)
18.0,-6.0,1.0,False,2PT,Restricted Area,Center(C)
-2.0,-6.0,0.0,True,2PT,Restricted Area,Center(C)
-128.0,235.0,26.0,False,3PT,Above the Break 3,Left Side Center(LC)
-8.0,195.0,19.0,True,2PT,Mid-Range,Center(C)
-158.0,83.0,17.0,False,2PT,Mid-Range,Left Side(L)
6.0,3.0,0.0,False,2PT,Restricted Area,Center(C)
99.0,151.0,18.0,True,2PT,Mid-Range,Right Side Center(RC)
132.0,219.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
-111.0,172.0,20.0,True,2PT,Mid-Range,Left Side Center(LC)
-153.0,94.0,17.0,False,2PT,Mid-Range,Left Side(L)
-8.0,4.0,0.0,False,2PT,Restricted Area,Center(C)
-155.0,105.0,18.0,True,2PT,Mid-Range,Left Side(L)
47.0,77.0,9.0,False,2PT,In The Paint (Non-RA),Right Side(R)
-122.0,116.0,16.0,True,2PT,Mid-Range,Left Side Center(LC)
-32.0,115.0,11.0,False,2PT,In The Paint (Non-RA),Center(C)
-112.0,96.0,14.0,True,2PT,Mid-Range,Left Side(L)
-43.0,42.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
223.0,126.0,25.0,True,3PT,Above the Break 3,Right Side Center(RC)
-8.0,143.0,14.0,False,2PT,Mid-Range,Center(C)
7.0,48.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-38.0,190.0,19.0,False,2PT,Mid-Range,Center(C)
1.0,9.0,0.0,False,2PT,Restricted Area,Center(C)
53.0,0.0,5.0,True,2PT,In The Paint (Non-RA),Center(C)
36.0,194.0,19.0,False,2PT,Mid-Range,Center(C)
-103.0,236.0,25.0,True,3PT,Above the Break 3,Left Side Center(LC)
-139.0,34.0,14.0,False,2PT,Mid-Range,Left Side(L)
2.0,28.0,2.0,True,2PT,Restricted Area,Center(C)
18.0,194.0,19.0,False,2PT,Mid-Range,Center(C)
-180.0,0.0,18.0,True,2PT,Mid-Range,Left Side(L)
15.0,17.0,2.0,False,2PT,Restricted Area,Center(C)
34.0,0.0,3.0,True,2PT,Restricted Area,Center(C)
-2.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
23.0,-5.0,2.0,False,2PT,Restricted Area,Center(C)
1.0,206.0,20.0,False,2PT,Mid-Range,Center(C)
-169.0,121.0,20.0,False,2PT,Mid-Range,Left Side(L)
-130.0,7.0,13.0,False,2PT,Mid-Range,Left Side(L)
-120.0,1.0,12.0,False,2PT,Mid-Range,Left Side(L)
-27.0,74.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
-16.0,0.0,1.0,True,2PT,Restricted Area,Center(C)
80.0,149.0,16.0,True,2PT,Mid-Range,Right Side Center(RC)
-41.0,37.0,5.0,True,2PT,In The Paint (Non-RA),Center(C)
34.0,14.0,3.0,False,2PT,Restricted Area,Center(C)
13.0,200.0,20.0,False,2PT,Mid-Range,Center(C)
-158.0,64.0,17.0,True,2PT,Mid-Range,Left Side(L)
0.0,28.0,2.0,True,2PT,Restricted Area,Center(C)
-32.0,157.0,16.0,True,2PT,Mid-Range,Center(C)
233.0,15.0,23.0,False,3PT,Right Corner 3,Right Side(R)
-48.0,58.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
157.0,137.0,20.0,False,2PT,Mid-Range,Right Side Center(RC)
-120.0,140.0,18.0,True,2PT,Mid-Range,Left Side Center(LC)
53.0,208.0,21.0,False,2PT,Mid-Range,Center(C)
-128.0,146.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
-43.0,14.0,4.0,True,2PT,In The Paint (Non-RA),Center(C)
10.0,246.0,24.0,False,3PT,Above the Break 3,Center(C)
-18.0,11.0,2.0,True,2PT,Restricted Area,Center(C)
-45.0,131.0,13.0,False,2PT,In The Paint (Non-RA),Center(C)
233.0,31.0,23.0,False,3PT,Right Corner 3,Right Side(R)
174.0,189.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
-5.0,34.0,3.0,False,2PT,Restricted Area,Center(C)
-158.0,197.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
-19.0,15.0,2.0,True,2PT,Restricted Area,Center(C)
124.0,749.0,75.0,False,3PT,Backcourt,Back Court(BC)
-134.0,12.0,13.0,False,2PT,Mid-Range,Left Side(L)
-93.0,0.0,9.0,True,2PT,Mid-Range,Left Side(L)
28.0,101.0,10.0,True,2PT,In The Paint (Non-RA),Center(C)
234.0,91.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
6.0,126.0,12.0,True,2PT,In The Paint (Non-RA),Center(C)
12.0,23.0,2.0,False,2PT,Restricted Area,Center(C)
17.0,3.0,1.0,True,2PT,Restricted Area,Center(C)
0.0,17.0,1.0,True,2PT,Restricted Area,Center(C)
18.0,71.0,7.0,True,2PT,In The Paint (Non-RA),Center(C)
32.0,7.0,3.0,False,2PT,Restricted Area,Center(C)
-116.0,222.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
4.0,14.0,1.0,False,2PT,Restricted Area,Center(C)
-38.0,3.0,3.0,True,2PT,Restricted Area,Center(C)
62.0,159.0,17.0,False,2PT,Mid-Range,Right Side Center(RC)
-98.0,61.0,11.0,False,2PT,Mid-Range,Left Side(L)
100.0,145.0,17.0,False,2PT,Mid-Range,Right Side Center(RC)
-108.0,134.0,17.0,False,2PT,Mid-Range,Left Side Center(LC)
4.0,39.0,3.0,True,2PT,Restricted Area,Center(C)
-207.0,148.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
-4.0,162.0,16.0,True,2PT,Mid-Range,Center(C)
28.0,178.0,18.0,True,2PT,Mid-Range,Center(C)
234.0,110.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
-237.0,44.0,24.0,False,3PT,Left Corner 3,Left Side(L)
-199.0,17.0,19.0,True,2PT,Mid-Range,Left Side(L)
-101.0,118.0,15.0,False,2PT,Mid-Range,Left Side(L)
26.0,197.0,19.0,True,2PT,Mid-Range,Center(C)
228.0,19.0,22.0,True,3PT,Right Corner 3,Right Side(R)
9.0,145.0,14.0,False,2PT,Mid-Range,Center(C)
75.0,17.0,7.0,False,2PT,In The Paint (Non-RA),Center(C)
-95.0,118.0,15.0,True,2PT,Mid-Range,Left Side(L)
12.0,192.0,19.0,True,2PT,Mid-Range,Center(C)
13.0,11.0,1.0,True,2PT,Restricted Area,Center(C)
31.0,17.0,3.0,False,2PT,Restricted Area,Center(C)
-2.0,181.0,18.0,True,2PT,Mid-Range,Center(C)
-153.0,160.0,22.0,True,2PT,Mid-Range,Left Side Center(LC)
106.0,39.0,11.0,False,2PT,Mid-Range,Right Side(R)
36.0,30.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
151.0,216.0,26.0,False,3PT,Above the Break 3,Right Side Center(RC)
-169.0,239.0,29.0,False,3PT,Above the Break 3,Left Side Center(LC)
124.0,143.0,18.0,False,2PT,Mid-Range,Right Side Center(RC)
67.0,102.0,12.0,False,2PT,In The Paint (Non-RA),Right Side(R)
113.0,231.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
-105.0,14.0,10.0,False,2PT,Mid-Range,Left Side(L)
-120.0,233.0,26.0,False,3PT,Above the Break 3,Left Side Center(LC)
-114.0,28.0,11.0,True,2PT,Mid-Range,Left Side(L)
7.0,172.0,17.0,False,2PT,Mid-Range,Center(C)
6.0,56.0,5.0,False,2PT,In The Paint (Non-RA),Center(C)
132.0,108.0,17.0,True,2PT,Mid-Range,Right Side Center(RC)
-155.0,48.0,16.0,True,2PT,Mid-Range,Left Side(L)
-122.0,15.0,12.0,False,2PT,Mid-Range,Left Side(L)
1.0,20.0,2.0,False,2PT,Restricted Area,Center(C)
24.0,118.0,12.0,False,2PT,In The Paint (Non-RA),Center(C)
1.0,80.0,8.0,False,2PT,In The Paint (Non-RA),Center(C)
92.0,159.0,18.0,True,2PT,Mid-Range,Right Side Center(RC)
-2.0,42.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-5.0,11.0,1.0,False,2PT,Restricted Area,Center(C)
-5.0,15.0,1.0,False,2PT,Restricted Area,Center(C)
114.0,23.0,11.0,False,2PT,Mid-Range,Right Side(R)
-103.0,126.0,16.0,False,2PT,Mid-Range,Left Side Center(LC)
-111.0,231.0,25.0,True,3PT,Above the Break 3,Left Side Center(LC)
-8.0,9.0,1.0,True,2PT,Restricted Area,Center(C)
-10.0,12.0,1.0,True,2PT,Restricted Area,Center(C)
-76.0,14.0,7.0,True,2PT,In The Paint (Non-RA),Center(C)
-65.0,175.0,18.0,True,2PT,Mid-Range,Left Side Center(LC)
23.0,0.0,2.0,True,2PT,Restricted Area,Center(C)
-86.0,165.0,18.0,False,2PT,Mid-Range,Left Side Center(LC)
129.0,113.0,17.0,True,2PT,Mid-Range,Right Side Center(RC)
-64.0,55.0,8.0,True,2PT,In The Paint (Non-RA),Left Side(L)
185.0,170.0,25.0,True,3PT,Above the Break 3,Right Side Center(RC)
-103.0,238.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
-141.0,138.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
135.0,34.0,13.0,True,2PT,Mid-Range,Right Side(R)
157.0,20.0,15.0,True,2PT,Mid-Range,Right Side(R)
-16.0,258.0,25.0,False,3PT,Above the Break 3,Center(C)
-237.0,34.0,23.0,False,3PT,Left Corner 3,Left Side(L)
72.0,377.0,38.0,False,3PT,Above the Break 3,Center(C)
-5.0,41.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-52.0,252.0,25.0,False,3PT,Above the Break 3,Center(C)
144.0,48.0,15.0,False,2PT,Mid-Range,Right Side(R)
2.0,0.0,0.0,False,2PT,Restricted Area,Center(C)
-2.0,97.0,9.0,False,2PT,In The Paint (Non-RA),Center(C)
0.0,56.0,5.0,False,2PT,In The Paint (Non-RA),Center(C)
113.0,233.0,25.0,False,3PT,Above the Break 3,Right Side Center(RC)
31.0,116.0,12.0,True,2PT,In The Paint (Non-RA),Center(C)
244.0,9.0,24.0,False,3PT,Right Corner 3,Right Side(R)
-130.0,20.0,13.0,False,2PT,Mid-Range,Left Side(L)
-62.0,28.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
-19.0,12.0,2.0,False,2PT,Restricted Area,Center(C)
144.0,222.0,26.0,True,3PT,Above the Break 3,Right Side Center(RC)
152.0,225.0,27.0,True,3PT,Above the Break 3,Right Side Center(RC)
138.0,22.0,13.0,True,2PT,Mid-Range,Right Side(R)
92.0,12.0,9.0,False,2PT,Mid-Range,Right Side(R)
162.0,44.0,16.0,False,2PT,Mid-Range,Right Side(R)
9.0,14.0,1.0,False,2PT,Restricted Area,Center(C)
-71.0,250.0,25.0,True,3PT,Above the Break 3,Center(C)
-37.0,164.0,16.0,False,2PT,Mid-Range,Center(C)
15.0,6.0,1.0,True,2PT,Restricted Area,Center(C)
171.0,201.0,26.0,True,3PT,Above the Break 3,Right Side Center(RC)
154.0,236.0,28.0,True,3PT,Above the Break 3,Right Side Center(RC)
10.0,52.0,5.0,False,2PT,In The Paint (Non-RA),Center(C)
10.0,1.0,1.0,True,2PT,Restricted Area,Center(C)
12.0,0.0,1.0,True,2PT,Restricted Area,Center(C)
54.0,20.0,5.0,True,2PT,In The Paint (Non-RA),Center(C)
83.0,306.0,31.0,True,3PT,Above the Break 3,Center(C)
-235.0,23.0,23.0,True,3PT,Left Corner 3,Left Side(L)
105.0,288.0,30.0,False,3PT,Above the Break 3,Right Side Center(RC)
-4.0,1.0,0.0,True,2PT,Restricted Area,Center(C)
-183.0,183.0,25.0,False,3PT,Above the Break 3,Left Side Center(LC)
-10.0,6.0,1.0,True,2PT,Restricted Area,Center(C)
73.0,252.0,26.0,False,3PT,Above the Break 3,Center(C)
7.0,67.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
1.0,12.0,1.0,False,2PT,Restricted Area,Center(C)
236.0,17.0,23.0,True,3PT,Right Corner 3,Right Side(R)
9.0,12.0,1.0,False,2PT,Restricted Area,Center(C)
136.0,227.0,26.0,False,3PT,Above the Break 3,Right Side Center(RC)
10.0,121.0,12.0,True,2PT,In The Paint (Non-RA),Center(C)
0.0,66.0,6.0,True,2PT,In The Paint (Non-RA),Center(C)
204.0,88.0,22.0,False,2PT,Mid-Range,Right Side(R)
-8.0,36.0,3.0,False,2PT,Restricted Area,Center(C)
-103.0,39.0,11.0,False,2PT,Mid-Range,Left Side(L)
-103.0,129.0,16.0,True,2PT,Mid-Range,Left Side Center(LC)
-5.0,183.0,18.0,False,2PT,Mid-Range,Center(C)
21.0,3.0,2.0,True,2PT,Restricted Area,Center(C)
-97.0,172.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
28.0,0.0,2.0,True,2PT,Restricted Area,Center(C)
24.0,7.0,2.0,True,2PT,Restricted Area,Center(C)
-166.0,6.0,16.0,False,2PT,Mid-Range,Left Side(L)
23.0,145.0,14.0,True,2PT,Mid-Range,Center(C)
-19.0,172.0,17.0,False,2PT,Mid-Range,Center(C)
-164.0,148.0,22.0,False,2PT,Mid-Range,Left Side Center(LC)
234.0,30.0,23.0,False,3PT,Right Corner 3,Right Side(R)
182.0,-3.0,18.0,True,2PT,Mid-Range,Right Side(R)
-73.0,236.0,24.0,False,3PT,Above the Break 3,Center(C)
-231.0,45.0,23.0,True,3PT,Left Corner 3,Left Side(L)
40.0,11.0,4.0,False,2PT,In The Paint (Non-RA),Center(C)
-111.0,160.0,19.0,False,2PT,Mid-Range,Left Side Center(LC)
-234.0,42.0,23.0,True,3PT,Left Corner 3,Left Side(L)
-35.0,190.0,19.0,False,2PT,Mid-Range,Center(C)
-163.0,96.0,18.0,False,2PT,Mid-Range,Left Side(L)
-59.0,6.0,5.0,True,2PT,In The Paint (Non-RA),Center(C)
-15.0,7.0,1.0,False,2PT,Restricted Area,Center(C)
-59.0,22.0,6.0,False,2PT,In The Paint (Non-RA),Center(C)
166.0,-5.0,16.0,True,2PT,Mid-Range,Right Side(R)
-27.0,11.0,2.0,True,2PT,Restricted Area,Center(C)
17.0,93.0,9.0,True,2PT,In The Paint (Non-RA),Center(C)
4.0,4.0,0.0,True,2PT,Restricted Area,Center(C)
-19.0,33.0,3.0,False,2PT,Restricted Area,Center(C)
13.0,1.0,1.0,True,2PT,Restricted Area,Center(C)
39.0,200.0,20.0,True,2PT,Mid-Range,Center(C)
119.0,225.0,25.0,True,3PT,Above the Break 3,Right Side Center(RC)
-70.0,252.0,26.0,False,3PT,Above the Break 3,Center(C)
157.0,146.0,21.0,True,2PT,Mid-Range,Right Side Center(RC)
6.0,11.0,1.0,True,2PT,Restricted Area,Center(C)
-7.0,30.0,3.0,False,2PT,Restricted Area,Center(C)
111.0,6.0,11.0,False,2PT,Mid-Range,Right Side(R)
132.0,132.0,18.0,False,2PT,Mid-Range,Right Side Center(RC)
